,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
215,ei tiedossa,1939,hyvä,1700.00,Kaksio,02360,850 €/kk,"59,5 m²",kerrostalo
216,ei tiedossa,1972,tyydyttävä,960.00,Yksiö,15700,480 €/kk,28 m²,kerrostalo
217,ei tiedossa,2017,hyvä,1340.00,Yksiö,01600,670 €/kk,"24,5 m²",kerrostalo
218,ei tiedossa,1971,hyvä,1680.00,Kaksio,01300,840 €/kk,"54,5 m²",kerrostalo
219,ei tiedossa,1959,hyvä,1240.00,Yksiö,00420,620 €/kk,27 m²,kerrostalo
220,ei sallittu,1959,hyvä,1120.00,Kaksio,28100,560 €/kk,45 m²,kerrostalo
221,ei sallittu,1972,hyvä,1040.00,Yksiö,33500,520 €/kk,29 m²,kerrostalo
222,ei sallittu,2008,hyvä,1kk:n vuokran suuruinen,3 huonetta,90650,851 €/kk,68 m²,luhtitalo
223,ei sallittu,2016,hyvä,1kk:n vuokran suuruinen,Kaksio,00380,950 €/kk,"37,5 m²",kerrostalo
224,ei sallittu,1980,hyvä,1kk:n vuokran suuruinen,Yksiö,02650,"773,33 €/kk","30,5 m²",kerrostalo
225,ei sallittu,1998,hyvä,1kk:n vuokran suuruinen,3 huonetta,01300,1 240 €/kk,70 m²,kerrostalo
226,ei sallittu,2017,hyvä,1kk:n vuokran suuruinen,Kaksio,02200,905 €/kk,"41,5 m²",kerrostalo
227,ei sallittu,2017,hyvä,noin yhden kuukauden vuokra,Yksiö,40900,"316,46 €/kk","25,5 m²",rivitalo
228,ei sallittu,2017,hyvä,noin yhden kuukauden vuokra,Kaksio,40100,"614,18 €/kk","49,5 m²",kerrostalo
229,ei sallittu,1991,hyvä,noin yhden kuukauden vuokra,3 huonetta,04130,910 €/kk,77 m²,kerrostalo
230,ei sallittu,1962,hyvä,"1 780,00 e",4 huonetta,28360,890 €/kk,120 m²,paritalo
231,ei sallittu,2016,hyvä,"1 780,00 e",Kaksio,00380,875 €/kk,34 m²,kerrostalo
232,ei sallittu,2017,ei luokiteltu,710.00,Kaksio,96100,710 €/kk,"44,5 m²",kerrostalo
233,ei sallittu,1997,hyvä,2 kk vuokraa vastaava summa,4 huonetta,20100,"1364,86 €/kk","91,5 m²",kerrostalo
234,ei sallittu,2018,hyvä,"1300,00",Yksiö,20100,650 €/kk,32 m²,kerrostalo
235,ei sallittu,2018,hyvä,"1300,00",Yksiö,20100,650 €/kk,32 m²,kerrostalo
236,ei sallittu,1975,hyvä,1 kk vuokra,3 huonetta,78850,675 €/kk,81 m²,kerrostalo
237,ei tiedossa,1976,hyvä,1390.00,3 huonetta,06450,695 €/kk,59 m²,kerrostalo
238,ei tiedossa,2006,hyvä,1300.00,Yksiö,02760,650 €/kk,36 m²,kerrostalo
239,ei tiedossa,2006,ei luokiteltu,780.00,Kaksio,03100,780 €/kk,"64,5 m²",rivitalo
240,ei sallittu,1972,hyvä,2 060,3 huonetta,00770,1 030 €/kk,80 m²,kerrostalo
241,ei sallittu,1972,hyvä,2 060,3 huonetta,00770,1 030 €/kk,80 m²,kerrostalo
242,ei sallittu,2017,hyvä,599,Yksiö,33900,600 €/kk,32 m²,kerrostalo
243,ei sallittu,1976,tyydyttävä,370,Yksiö,38700,370 €/kk,"34,5 m²",kerrostalo
244,ei sallittu,1970,hyvä,950,Yksiö,37100,475 €/kk,36 m²,kerrostalo
245,ei sallittu,2017,hyvä,"1350,00",3 huonetta,00940,1 350 €/kk,"83,5 m²",kerrostalo
246,ei sallittu,2017,hyvä,2kk vuokraa vastaava summa.,Yksiö,00910,649 €/kk,32 m²,kerrostalo
247,ei sallittu,2000,hyvä,250 €,3 huonetta,90250,837 €/kk,66 m²,kerrostalo
248,ei sallittu,1990,hyvä,250 €,Kaksio,90240,589 €/kk,"58,5 m²",kerrostalo
249,ei sallittu,1975,hyvä,465€,Kaksio,95420,465 €/kk,45 m²,kerrostalo
250,ei sallittu,1974,tyydyttävä,600€,3 huonetta,95420,600 €/kk,74 m²,kerrostalo
251,ei sallittu,1975,hyvä,560€,Kaksio,95400,560 €/kk,"59,5 m²",kerrostalo
252,ei sallittu,1991,hyvä,560€,Kaksio,00330,975 €/kk,43 m²,kerrostalo
253,ei sallittu,1976,hyvä,1000 €,3 huonetta,38710,600 €/kk,80 m²,kerrostalo
254,ei sallittu,2018,hyvä,"1670,00",Kaksio,20100,835 €/kk,"56,5 m²",kerrostalo
255,ei tiedossa,2018,hyvä,1380.00,Yksiö,01700,690 €/kk,"30,5 m²",luhtitalo
256,ei tiedossa,1966,hyvä,1000.00,Kaksio,15210,500 €/kk,53 m²,kerrostalo
257,ei tiedossa,1957,hyvä,1250.00,Yksiö,00370,625 €/kk,24 m²,kerrostalo
258,ei tiedossa,1977,hyvä,1170.00,Yksiö,04320,585 €/kk,35 m²,kerrostalo
259,ei tiedossa,1977,hyvä,1170.00,Yksiö,00810,2 343 €/kk,35 m²,kerrostalo
260,ei tiedossa,1977,tyydyttävä,1170.00,3 huonetta,01710,2 382 €/kk,73 m²,kerrostalo
261,ei tiedossa,2014,hyvä,1170.00,Yksiö,02680,1 367 €/kk,25 m²,rivitalo
262,ei tiedossa,2014,tyydyttävä,1170.00,Yksiö,00100,1 066 €/kk,18 m²,kerrostalo
