,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
204,ei sallittu,2017,hyvä,250 €,Kaksio,01400,876 €/kk,43 m²,kerrostalo
205,ei sallittu,1955,hyvä,250 €,Kaksio,33100,779 €/kk,"40,5 m²",kerrostalo
206,ei sallittu,1980,hyvä,250 €,Kaksio,01370,746 €/kk,"47,5 m²",kerrostalo
207,ei sallittu,1973,hyvä,250 €,3 huonetta,01620,1 111 €/kk,"76,5 m²",kerrostalo
208,ei sallittu,1973,hyvä,1kk+hlö tai 2kk,Kaksio,28190,650 €/kk,"57,5 m²",kerrostalo
209,ei sallittu,1965,hyvä,1kk + hlö tai 2kk,3 huonetta,28100,650 €/kk,"68,5 m²",kerrostalo
210,ei sallittu,1989,hyvä,"440,00 e",Yksiö,90570,440 €/kk,30 m²,kerrostalo
211,sallittu,1977,hyvä,1200,4 huonetta,61330,1 200 €/kk,118 m²,omakotitalo
212,ei sallittu,1997,hyvä,1200,Kaksio,02660,929 €/kk,56 m²,kerrostalo
213,ei sallittu,1988,hyvä,1200,3 huonetta,00710,1 129 €/kk,68 m²,kerrostalo
214,ei sallittu,2018,ei luokiteltu,630.00,Yksiö,20520,630 €/kk,33 m²,kerrostalo
215,ei sallittu,2018,ei luokiteltu,635.00,Yksiö,20520,635 €/kk,34 m²,kerrostalo
216,ei sallittu,1997,ei luokiteltu,491.00,Kaksio,90520,491 €/kk,51 m²,kerrostalo
217,ei sallittu,2017,ei luokiteltu,641.00,Yksiö,04220,641 €/kk,"32,5 m²",kerrostalo
218,ei sallittu,2018,ei luokiteltu,820.00,Kaksio,20520,820 €/kk,51 m²,kerrostalo
219,ei sallittu,2018,ei luokiteltu,730.00,Kaksio,70300,730 €/kk,47 m²,kerrostalo
220,ei sallittu,2017,ei luokiteltu,760.00,Kaksio,04230,760 €/kk,"49,5 m²",kerrostalo
221,ei sallittu,2017,ei luokiteltu,738.00,Kaksio,04220,738 €/kk,"47,5 m²",kerrostalo
222,ei sallittu,2017,ei luokiteltu,609.00,Yksiö,04220,609 €/kk,"30,5 m²",kerrostalo
223,ei sallittu,2018,ei luokiteltu,645.00,Yksiö,20520,645 €/kk,33 m²,kerrostalo
224,ei sallittu,2018,ei luokiteltu,585.00,Yksiö,20520,585 €/kk,26 m²,kerrostalo
225,ei sallittu,2018,ei luokiteltu,630.00,Yksiö,20520,630 €/kk,"32,5 m²",kerrostalo
226,ei sallittu,2017,ei luokiteltu,710.00,Kaksio,04230,710 €/kk,43 m²,kerrostalo
227,ei tiedossa,2017,ei luokiteltu,1500 ,Kaksio,33540,750 €/kk,"43,5 m²",kerrostalo
228,ei sallittu,1972,hyvä,noin yhden kuukauden vuokra,Kaksio,04600,"693,25 €/kk","58,5 m²",kerrostalo
229,ei tiedossa,1990,ei luokiteltu,390.00,Yksiö,86300,390 €/kk,33 m²,kerrostalo
230,ei tiedossa,2016,hyvä,.00,Yksiö,60200,580 €/kk,"38,5 m²",kerrostalo
231,ei tiedossa,1987,hyvä,585.00,Kaksio,67100,585 €/kk,59 m²,kerrostalo
232,ei tiedossa,2013,hyvä,1190.00,Yksiö,36280,595 €/kk,42 m²,kerrostalo
233,ei tiedossa,1983,ei luokiteltu,1240.00,Yksiö,04230,620 €/kk,"36,5 m²",luhtitalo
234,ei tiedossa,1984,hyvä,1190.00,Yksiö,33500,595 €/kk,35 m²,kerrostalo
235,ei tiedossa,1945,hyvä,1840.00,Kaksio,00270,920 €/kk,42 m²,kerrostalo
236,ei tiedossa,1957,hyvä,3050.00,4 huonetta,00810,1 525 €/kk,87 m²,kerrostalo
237,ei sallittu,1978,hyvä,1kk:n vuokran suuruinen,Kaksio,90570,575 €/kk,59 m²,kerrostalo
238,ei sallittu,1978,hyvä,1kk:n vuokran suuruinen,Kaksio,90570,545 €/kk,"51,5 m²",kerrostalo
239,ei sallittu,1978,hyvä,1kk:n vuokran suuruinen,Kaksio,90570,570 €/kk,59 m²,kerrostalo
240,ei sallittu,1953,hyvä,1kk:n vuokran suuruinen,Kaksio,90120,652 €/kk,61 m²,kerrostalo
241,ei sallittu,2011,hyvä,1kk:n vuokran suuruinen,Kaksio,00790,990 €/kk,"48,5 m²",kerrostalo
242,ei sallittu,1929,hyvä,1290 €,Kaksio,33100,645 €/kk,"43,5 m²",kerrostalo
243,ei sallittu,1962,hyvä,"1340,-",3 huonetta,28130,670 €/kk,69 m²,kerrostalo
244,ei sallittu,1939,hyvä,500 €,Yksiö,20810,750 €/kk,"43,5 m²",kerrostalo
