POSTI_ALUE,NIMI,KUNTA
14240,Väli-Janakkala,165
14300,Renko kk,109
14330,Kaloinen,109
14370,Lukana,109
14430,Vuohiniemi,82
14450,Rimmilä,109
14500,Iittala,109
14530,Leteensuo,82
14610,Lepaa,82
14620,Tyrväntö,82
14680,Alvettula,109
14690,Torvoila,109
14700,Hauho kk,109
14770,Eteläinen,109
14810,Pohjoinen,109
14820,Syrjäntaka,109
14840,Sairiala,109
14870,Juttila,109
14930,Sappee,109
14960,Puutikkala,635
14980,Kuohijoki,635
15100,Lahti Asemanseutu,398
15110,Keski-Lahti,398
15140,Kartano-Paavola,398
15150,Möysä,398
15160,Kolava,398
15170,Tenava-Tonttila,398
15200,Kiveriö,398
15210,Kivistönmäki,398
15230,Kytölä,398
15240,Mukkula,398
15270,Kukkila,98
15300,Myllypohja-Koiskala,398
15320,Ahtiala,398
15340,Kunnas-Hiekkanummi,398
15460,Mäkelä,398
15500,Liipola,398
15520,Saksala,398
15540,Villähde,398
15550,Rakokivi,398
15560,Nastola kk,398
15580,Ruuhijärvi,398
15610,Laune-Nikkilä,398
15680,Renkomäki-Ämmälä,398
15700,Hennala-Jokimaa,98
15800,Kärpänen,398
15810,Kasakkamäki,398
15820,Okeroinen,98
15830,Metsäkangas,398
15840,Riihelä,398
15850,Likolampi,398
15860,Kartano,98
15870,Salpakangas,98
15880,Soramäki,98
15900,Jalkaranta,398
15950,Kiikkula,398
15980,Messilä,98
16100,Uusikylä,398
16160,Okkeri,398
16200,Artjärvi Keskus,560
16230,Artjärvi Kirkonkylä,560
16260,Hietana,560
16270,Villikkala,560
16280,Kuivanto,560
16300,Orimattila Keskus,560
16310,Virenoja,560
16320,Pennala,560
16330,Heinämaa,560
16350,Niinikoski,560
16390,Pakaa,560
16450,Mallusjoki,560
16500,Herrala,98
16510,Luhtikylä,560
16540,Mertie,316
16600,Järvelä,316
16610,Kärkölä kk,316
16630,Tennilä,98
16670,Lappila,316
16710,Hollola kk,98
16730,Kutajärvi,98
16790,Manskivi,98
16800,Hämeenkoski,98
16900,Lammi kk,109
16960,Iso-Evo,109
16970,Evo,109
16980,Ronni,109
17110,Sipilä,98
17120,Paimela,98
17130,Vesivehmaa,16
17150,Urajärvi,16
17200,Vääksy Keskus,16
17220,Pietilä,16
17240,Kalkkinen,16
17320,Asikkala,16
17410,Viitaila,16
17430,Kurhila,16
17440,Vähimaa,16
17450,Iso-Äiniö-Vähimaa,16
17470,Maakeski,576
17500,Padasjoki Keskus,576
17510,Nyystölä,576
